DateTime,Open,High,Low,Close,Volume,VolumeBTC,Symbol,RSI_14,SMA_14,EMA_14,RSI_30,SMA_30,EMA_30,RSI_60,SMA_60,EMA_60
2016-12-29,6.62e-06,6.99e-06,6.51e-06,6.69e-06,41248308.32,280.19,XRP,32.21013631978875,7.302857142857149e-06,7.219457560500397e-06,35.099380356080054,8.0473333333333e-06,7.978033142392284e-06,40.55343478649654,9.300833333333394e-06,8.98148548081188e-06
2016-12-30,6.69e-06,6.9e-06,6.61e-06,6.76e-06,24350077.08,164.7,XRP,33.53904696846605,7.197857142857149e-06,7.158196552433677e-06,35.67863373410016,7.974666666666633e-06,7.899450359012136e-06,40.79070078361909,9.231833333333393e-06,8.908649891277065e-06
2016-12-31,6.76e-06,6.87e-06,6.21e-06,6.33e-06,36274495.44,238.08,XRP,29.706275974104315,7.0528571428571495e-06,7.0477703454425205e-06,33.76567324542124,7.899666666666633e-06,7.798195497140385e-06,39.798667443136694,9.15400000000006e-06,8.824103993202406e-06
2017-01-01,6.33e-06,6.43e-06,6.09e-06,6.17e-06,42678024.06,264.57,XRP,28.41185228581578,6.907142857142863e-06,6.9307342993835175e-06,33.083643858184246,7.8203333333333e-06,7.693150626357135e-06,39.43585143951285,9.061833333333393e-06,8.73708419014659e-06
2017-01-02,6.17e-06,6.38e-06,6.09e-06,6.23e-06,32218161.68,200.81,XRP,29.643612755566544,6.775000000000006e-06,6.837303059465715e-06,33.60333539539908,7.747666666666633e-06,7.598753811753449e-06,39.64561814762959,8.970666666666725e-06,8.65488470850244e-06
2017-01-03,6.23e-06,6.26e-06,5.63e-06,5.7e-06,72372912.5,434.37,XRP,25.492328390074565,6.625000000000006e-06,6.685662651536952e-06,31.378917518156094,7.656999999999966e-06,7.476253565833872e-06,38.44965820377323,8.870666666666726e-06,8.558003242649901e-06
2017-01-04,5.7e-06,6.55e-06,4.22e-06,6.22e-06,229386598.2,1344.38,XRP,35.05324454906266,6.531428571428578e-06,6.623574297998692e-06,35.694598719296955,7.572666666666633e-06,7.3952049486832995e-06,40.24762903490326,8.784333333333393e-06,8.481347398628592e-06
2017-01-05,6.22e-06,7.38e-06,6e-06,7.08e-06,156317815.4,1069.59,XRP,47.0851501785168,6.56928571428572e-06,6.6844310582655335e-06,41.935379531799946,7.498999999999966e-06,7.374869145542441e-06,43.04504702013763,8.707333333333393e-06,8.435401582280114e-06
2017-01-06,7.08e-06,7.59e-06,6.87e-06,7.09e-06,138833883.4,1005.27,XRP,47.20699808918272,6.560000000000006e-06,6.7385069171634625e-06,42.00300945955239,7.437333333333299e-06,7.356490490991316e-06,43.076551590043266,8.633833333333391e-06,8.391290054992242e-06
2017-01-07,7.09e-06,7.2e-06,6.67e-06,6.84e-06,60216700.81,416.08,XRP,44.46443558102482,6.536428571428577e-06,6.752039328208334e-06,40.77609739367573,7.370333333333299e-06,7.323168523830586e-06,42.479326189967786,8.55950000000006e-06,8.340428085976103e-06
2017-01-08,6.84e-06,7.09e-06,6.72e-06,6.86e-06,52564771.43,361.92,XRP,44.73961583082436,6.53428571428572e-06,6.766434084447223e-06,40.918760951399435,7.309999999999966e-06,7.293286683583452e-06,42.54411506368745,8.48550000000006e-06,8.291889460206394e-06
2017-01-09,6.86e-06,7.8e-06,6.8e-06,7.55e-06,234598070.9,1718.77,XRP,53.294205003371864,6.605714285714291e-06,6.8709095398542595e-06,45.59121055157143,7.268333333333298e-06,7.30984883302968e-06,44.72775607111251,8.42300000000006e-06,8.267565215609463e-06
2017-01-10,7.55e-06,8.5e-06,7.08e-06,8.21e-06,346054420.7,2754.98,XRP,59.689511808587525,6.73928571428572e-06,7.049454934540358e-06,49.53590024044465,7.254666666666632e-06,7.367923101866475e-06,46.69775353021855,8.368166666666728e-06,8.26567783149112e-06
2017-01-11,8.21e-06,9.2e-06,7.49e-06,7.84e-06,455436057.0,3839.63,XRP,55.15339839258397,6.826428571428577e-06,7.154860943268311e-06,47.539283795695006,7.224999999999965e-06,7.3983796759396054e-06,45.768022992822104,8.307166666666727e-06,8.251721181278297e-06
2017-01-12,7.84e-06,8.38e-06,7.68e-06,8.1e-06,199698451.6,1607.47,XRP,57.58049107876097,6.9271428571428615e-06,7.280879484165869e-06,49.031021865816655,7.209333333333298e-06,7.443645503298341e-06,46.52858217772655,8.253833333333393e-06,8.246746716318353e-06
2017-01-13,8.1e-06,8.79e-06,7.96e-06,8.37e-06,116378737.6,957.3,XRP,59.98974085238398,7.042142857142862e-06,7.426095552943753e-06,50.54020359091213,7.201666666666632e-06,7.503410309537158e-06,47.30874477260881,8.210000000000059e-06,8.250787807586604e-06
2017-01-14,8.37e-06,8.51e-06,8.18e-06,8.31e-06,63584224.16,530.73,XRP,59.18933480878884,7.183571428571434e-06,7.543949479217919e-06,50.19888682413426,7.196666666666632e-06,7.555448354083148e-06,47.15331231973556,8.175166666666725e-06,8.25272919094442e-06
2017-01-15,8.31e-06,8.48e-06,8.1e-06,8.18e-06,47223127.61,387.63,XRP,57.41111803291007,7.327142857142862e-06,7.628756215322197e-06,49.45118255796447,7.194999999999965e-06,7.595742008658428e-06,46.81450607410094,8.138166666666724e-06,8.250344627306898e-06
2017-01-16,8.18e-06,8.31e-06,7.05e-06,7.39e-06,143313540.2,1088.52,XRP,48.01831667852137,7.4100000000000044e-06,7.5969220532792374e-06,45.221525475726686,7.162666666666632e-06,7.5824683306804655e-06,44.824664179722205,8.088000000000057e-06,8.222136606739459e-06
2017-01-17,7.39e-06,7.95e-06,7.02e-06,7.71e-06,121201296.9,913.28,XRP,51.46454723554973,7.553571428571433e-06,7.611999112842006e-06,47.11485203377495,7.145999999999964e-06,7.590696180313984e-06,45.77384382601064,8.048166666666724e-06,8.205345242584067e-06
2017-01-18,7.71e-06,7.72e-06,7.37e-06,7.48e-06,45934933.91,345.62,XRP,48.964674266399726,7.643571428571432e-06,7.594399231129738e-06,45.935661816127386,7.1259999999999645e-06,7.583554491261469e-06,45.205577533444725,7.99950000000006e-06,8.181563431351803e-06
2017-01-19,7.48e-06,7.66e-06,7.27e-06,7.38e-06,48030246.14,358.44,XRP,47.88122049992269,7.665000000000004e-06,7.565812666979106e-06,45.42488348910149,7.111999999999965e-06,7.570421943438148e-06,44.95885969652835,7.954166666666725e-06,8.15528266311076e-06
2017-01-20,7.38e-06,7.53e-06,7.15e-06,7.29e-06,48521351.04,354.65,XRP,46.8809225107227,7.679285714285717e-06,7.529037644715225e-06,44.95994955271685,7.1039999999999645e-06,7.552330205151816e-06,44.73546053776327,7.91250000000006e-06,8.12691273973008e-06
2017-01-21,7.29e-06,7.51e-06,7.14e-06,7.32e-06,30496807.39,222.79,XRP,47.27431708504906,7.713571428571433e-06,7.501165958753195e-06,45.1533097296454,7.1296666666666316e-06,7.53734115965815e-06,44.82836560999185,7.876833333333393e-06,8.100456584329093e-06
2017-01-22,7.32e-06,7.37e-06,7.19e-06,7.25e-06,23624768.8,171.68,XRP,46.41495578601752,7.741428571428575e-06,7.467677164252769e-06,44.774054256344336,7.130666666666632e-06,7.518803020325366e-06,44.650303034505555,7.84450000000006e-06,8.072572761892073e-06
2017-01-23,7.25e-06,7.4e-06,7.16e-06,7.28e-06,37547801.99,272.83,XRP,46.85853429256555,7.722142857142861e-06,7.4426535423524e-06,44.97871598713315,7.134333333333298e-06,7.503396373852762e-06,44.74593119657037,7.812166666666727e-06,8.04658676969889e-06
2017-01-24,7.28e-06,7.38e-06,7.12e-06,7.22e-06,43253127.87,313.66,XRP,46.04181547877233,7.651428571428576e-06,7.41296640337208e-06,44.63684878109445,7.145333333333298e-06,7.485112736830003e-06,44.58928866772358,7.774833333333395e-06,8.019485564134992e-06
2017-01-25,7.22e-06,7.28e-06,6.74e-06,6.85e-06,116026801.4,810.67,XRP,41.28722367677397,7.58071428571429e-06,7.337904216255803e-06,42.57482271804056,7.155333333333299e-06,7.444137721550648e-06,43.63168202678755,7.731833333333394e-06,7.98114177514696e-06
2017-01-26,6.85e-06,7.15e-06,6.75e-06,6.96e-06,99258718.82,687.13,XRP,43.157009654500946,7.499285714285719e-06,7.287516987421696e-06,43.37837538977602,7.175999999999965e-06,7.412903029837703e-06,43.99522121821062,7.69400000000006e-06,7.94766171694542e-06
2017-01-27,6.96e-06,6.99e-06,6.8e-06,6.85e-06,29878538.61,205.32,XRP,41.73303431831512,7.3907142857142905e-06,7.229181389098803e-06,42.76008709446931,7.183666666666632e-06,7.376586705332045e-06,43.70863061524777,7.655500000000059e-06,7.911672808193111e-06
