DateTime,Open,High,Low,Close,Symbol
2015-06-29,256.97,268.73,255.37,264.12,BTC
2015-06-30,264.12,265.0,254.41,257.62,BTC
2015-07-01,257.62,261.29,253.09,254.88,BTC
2015-07-02,254.88,256.71,252.44,255.4,BTC
2015-07-03,255.4,261.08,253.37,260.55,BTC
2015-07-04,260.55,274.14,257.61,270.14,BTC
2015-07-05,270.14,277.48,266.46,269.08,BTC
2015-07-06,269.08,271.34,263.21,266.21,BTC
2015-07-07,266.21,273.57,263.18,268.64,BTC
2015-07-08,268.64,272.31,265.13,269.14,BTC
2015-07-09,269.14,297.85,266.91,283.62,BTC
2015-07-10,283.62,298.76,282.28,291.97,BTC
2015-07-11,291.97,315.88,291.26,310.44,BTC
2015-07-12,310.44,310.88,276.85,290.35,BTC
2015-07-13,290.35,296.96,285.17,286.96,BTC
2015-07-14,286.96,292.92,283.17,283.42,BTC
2015-07-15,283.42,290.84,273.28,276.59,BTC
2015-07-16,276.59,280.76,271.17,279.62,BTC
2015-07-17,279.62,282.53,243.24,274.05,BTC
2015-07-18,274.05,277.07,271.85,273.18,BTC
2015-07-19,273.18,278.85,271.82,277.68,BTC
2015-07-20,277.68,281.05,274.19,275.09,BTC
2015-07-21,275.09,277.39,273.12,276.46,BTC
2015-07-22,276.46,277.85,274.47,275.52,BTC
2015-07-23,275.52,289.81,274.26,288.37,BTC
2015-07-24,288.37,291.24,284.67,288.74,BTC
2015-07-25,288.74,293.28,286.77,291.77,BTC
2015-07-26,291.77,295.79,285.4,293.01,BTC
2015-07-27,293.01,296.68,291.67,293.7,BTC
2015-07-28,293.7,294.72,286.89,288.37,BTC
2015-07-29,288.37,289.89,284.91,287.02,BTC
2015-07-30,287.02,288.69,280.77,283.73,BTC
2015-07-31,283.73,284.53,276.3,280.47,BTC
2015-08-01,280.47,282.5,275.93,281.36,BTC
2015-08-02,281.36,285.0,278.94,281.58,BTC
2015-08-03,281.58,285.66,279.58,284.3,BTC
2015-08-04,284.3,285.45,280.53,281.72,BTC
2015-08-05,281.72,281.98,276.46,278.0,BTC
2015-08-06,278.0,279.6,274.28,277.89,BTC
2015-08-07,277.89,278.92,257.42,258.6,BTC
2015-08-08,258.6,266.75,258.56,263.87,BTC
2015-08-09,263.87,266.63,260.52,263.3,BTC
2015-08-10,263.3,269.9,261.44,269.03,BTC
2015-08-11,269.03,271.5,263.66,267.66,BTC
2015-08-12,267.66,268.39,261.28,263.44,BTC
2015-08-13,263.44,267.22,260.21,265.03,BTC
2015-08-14,265.03,266.55,259.38,260.52,BTC
2015-08-15,260.52,261.92,254.57,257.12,BTC
2015-08-16,257.12,259.93,252.87,257.13,BTC
2015-08-17,257.13,257.53,245.74,246.72,BTC
2015-08-18,246.72,247.95,214.29,226.0,BTC
2015-08-19,226.0,238.03,225.54,234.66,BTC
2015-08-20,234.66,236.3,230.48,232.4,BTC
2015-08-21,232.4,235.07,221.04,229.54,BTC
2015-08-22,229.54,232.7,224.27,226.75,BTC
2015-08-23,226.75,228.43,207.82,211.43,BTC
2015-08-24,211.43,226.55,196.26,220.51,BTC
2015-08-25,220.51,230.69,218.79,224.97,BTC
2015-08-26,224.97,228.44,222.0,222.73,BTC
2015-08-27,222.73,234.81,219.6,231.64,BTC
2015-08-28,231.64,233.09,226.35,228.5,BTC
2015-08-29,228.5,232.32,225.44,228.4,BTC
2015-08-30,228.4,231.79,224.2,229.47,BTC
2015-08-31,229.47,231.45,225.76,227.18,BTC
2015-09-01,227.18,230.59,225.57,228.63,BTC
2015-09-02,228.63,229.62,225.36,226.2,BTC
2015-09-03,226.2,231.06,225.75,230.25,BTC
2015-09-04,230.25,235.61,228.29,233.67,BTC
2015-09-05,233.67,243.64,234.74,239.86,BTC
2015-09-06,239.86,242.66,237.49,239.58,BTC
2015-09-07,239.58,246.38,239.23,243.24,BTC
2015-09-08,243.24,244.34,236.49,237.41,BTC
2015-09-09,237.41,240.63,234.31,238.08,BTC
2015-09-10,238.08,241.02,237.38,239.9,BTC
2015-09-11,239.9,240.32,233.32,235.6,BTC
2015-09-12,235.6,236.16,228.28,230.19,BTC
2015-09-13,230.19,232.64,225.96,229.91,BTC
2015-09-14,229.91,242.83,228.03,229.53,BTC
2015-09-15,229.53,230.89,225.05,228.6,BTC
2015-09-16,228.6,235.17,227.95,232.72,BTC
2015-09-17,232.72,234.69,230.58,232.21,BTC
2015-09-18,232.21,233.35,230.21,231.11,BTC
2015-09-19,231.11,232.67,229.93,231.09,BTC
2015-09-20,231.09,231.63,225.0,226.33,BTC
2015-09-21,226.33,233.24,224.07,230.01,BTC
2015-09-22,230.01,232.2,228.5,229.89,BTC
2015-09-23,229.89,235.84,229.57,233.76,BTC
2015-09-24,233.76,237.58,232.7,235.03,BTC
2015-09-25,235.03,235.71,232.74,234.3,BTC
2015-09-26,234.3,234.75,231.84,232.5,BTC
2015-09-27,232.5,240.39,232.37,238.87,BTC
2015-09-28,238.87,240.39,234.8,236.71,BTC
2015-09-29,236.71,237.83,234.39,235.93,BTC
2015-09-30,235.93,238.66,234.7,237.05,BTC
2015-10-01,237.05,238.45,235.14,236.71,BTC
2015-10-02,236.71,239.52,236.07,238.58,BTC
2015-10-03,238.58,277.58,237.51,238.33,BTC
2015-10-04,238.33,240.53,236.41,240.15,BTC
2015-10-05,240.15,247.61,239.36,246.14,BTC
2015-10-06,246.14,247.28,241.65,242.98,BTC
2015-10-07,242.98,244.79,241.57,242.58,BTC
2015-10-08,242.58,244.56,241.34,244.04,BTC
2015-10-09,244.04,245.93,242.89,245.35,BTC
2015-10-10,245.35,248.26,244.47,247.65,BTC
2015-10-11,247.65,248.02,244.65,245.35,BTC
2015-10-12,245.35,251.19,243.11,248.78,BTC
2015-10-13,248.78,255.06,248.28,252.33,BTC
2015-10-14,252.33,256.76,251.17,254.44,BTC
2015-10-15,254.44,267.27,253.93,262.87,BTC
2015-10-16,262.87,275.41,261.74,269.58,BTC
2015-10-17,269.58,272.44,259.53,261.67,BTC
2015-10-18,261.67,265.95,259.89,263.82,BTC
2015-10-19,263.82,272.12,262.7,269.75,BTC
2015-10-20,269.75,272.17,263.54,267.11,BTC
2015-10-21,267.11,278.74,266.8,274.42,BTC
2015-10-22,274.42,279.77,273.17,276.92,BTC
2015-10-23,276.92,283.05,277.01,282.56,BTC
2015-10-24,282.56,295.56,281.75,287.86,BTC
2015-10-25,287.86,287.62,279.62,285.15,BTC
2015-10-26,285.15,298.43,285.09,294.66,BTC
2015-10-27,294.66,307.46,294.02,303.54,BTC
2015-10-28,303.54,318.48,300.16,313.63,BTC
2015-10-29,313.63,334.92,310.82,327.12,BTC
2015-10-30,327.12,333.25,304.6,311.24,BTC
2015-10-31,311.24,324.34,304.72,322.95,BTC
2015-11-01,322.95,365.75,319.75,359.28,BTC
2015-11-02,359.28,416.78,354.58,396.49,BTC
2015-11-03,396.49,492.8,368.62,400.89,BTC
2015-11-04,400.89,447.24,366.08,382.7,BTC
2015-11-05,382.7,396.35,348.84,369.81,BTC
2015-11-06,369.81,391.75,368.98,385.09,BTC
2015-11-07,385.09,389.78,365.49,371.56,BTC
2015-11-08,371.56,385.11,360.17,380.22,BTC
2015-11-09,380.22,381.38,323.21,336.69,BTC
2015-11-10,336.69,341.76,292.38,304.71,BTC
2015-11-11,304.71,346.13,306.07,333.85,BTC
2015-11-12,333.85,341.79,323.91,333.77,BTC
2015-11-13,333.77,369.8,326.35,331.77,BTC
2015-11-14,331.77,334.78,314.16,317.45,BTC
2015-11-15,317.45,332.01,314.06,330.21,BTC
2015-11-16,330.21,342.91,328.15,333.91,BTC
2015-11-17,333.91,337.39,329.42,335.92,BTC
2015-11-18,335.92,335.64,323.36,324.98,BTC
2015-11-19,324.98,327.06,309.48,321.12,BTC
2015-11-20,321.12,328.42,318.37,324.7,BTC
2015-11-21,324.7,326.94,319.35,322.78,BTC
2015-11-22,322.78,325.0,319.89,322.12,BTC
2015-11-23,322.12,323.26,315.54,318.35,BTC
2015-11-24,318.35,330.04,315.69,327.52,BTC
2015-11-25,327.52,368.92,327.4,353.74,BTC
2015-11-26,353.74,363.9,345.15,359.52,BTC
2015-11-27,359.52,360.08,350.49,355.83,BTC
2015-11-28,355.83,372.84,354.55,370.84,BTC
2015-11-29,370.84,382.56,367.87,377.97,BTC
2015-11-30,377.97,379.02,353.66,361.8,BTC
2015-12-01,361.8,363.43,347.16,359.98,BTC
2015-12-02,359.98,371.37,355.47,360.31,BTC
2015-12-03,360.31,363.95,354.31,361.67,BTC
2015-12-04,361.67,390.28,361.5,386.69,BTC
2015-12-05,386.69,402.19,382.62,393.38,BTC
2015-12-06,393.38,398.74,381.69,394.28,BTC
2015-12-07,394.28,411.07,388.03,410.67,BTC
2015-12-08,410.67,424.58,403.26,416.0,BTC
2015-12-09,416.0,420.36,409.53,415.49,BTC
2015-12-10,415.49,453.37,413.72,449.83,BTC
2015-12-11,449.83,467.71,403.69,432.29,BTC
2015-12-12,432.29,440.97,420.76,434.69,BTC
2015-12-13,434.69,449.45,428.84,442.0,BTC
2015-12-14,442.0,464.23,440.72,462.65,BTC
2015-12-15,462.65,465.16,437.37,453.98,BTC
2015-12-16,453.98,458.44,447.29,455.53,BTC
2015-12-17,455.53,466.12,453.46,463.18,BTC
2015-12-18,463.18,465.99,452.33,461.2,BTC
2015-12-19,461.2,462.76,431.1,441.78,BTC
2015-12-20,441.78,445.54,423.99,437.59,BTC
2015-12-21,437.59,443.22,433.25,437.03,BTC
2015-12-22,437.03,444.78,434.28,442.43,BTC
2015-12-23,442.43,460.62,441.76,452.98,BTC
2015-12-24,452.98,457.44,449.52,454.05,BTC
2015-12-25,454.05,456.48,400.45,415.37,BTC
2015-12-26,415.37,425.51,406.09,422.39,BTC
2015-12-27,422.39,429.85,417.14,421.76,BTC
2015-12-28,421.76,433.56,419.3,431.92,BTC
2015-12-29,431.92,435.04,420.77,427.15,BTC
2015-12-30,427.15,433.12,417.14,429.95,BTC
2015-12-31,429.95,437.95,425.86,433.99,BTC
2016-01-01,433.99,437.43,430.73,433.72,BTC
2016-01-02,433.72,434.14,423.09,430.7,BTC
2016-01-03,430.7,435.26,428.6,433.32,BTC
2016-01-04,433.32,435.25,428.87,431.2,BTC
2016-01-05,431.2,432.11,425.0,430.82,BTC
2016-01-06,430.82,457.54,428.52,457.05,BTC
2016-01-07,457.05,462.92,446.51,452.87,BTC
2016-01-08,452.87,454.55,444.9,448.31,BTC
2016-01-09,448.31,448.88,438.62,446.19,BTC
2016-01-10,446.19,451.08,441.77,447.72,BTC
2016-01-11,447.72,448.41,443.14,445.04,BTC
2016-01-12,445.04,443.72,420.39,432.18,BTC
2016-01-13,432.18,433.74,427.01,429.13,BTC
2016-01-14,429.13,430.15,364.71,372.26,BTC
2016-01-15,372.26,386.72,350.39,385.04,BTC
2016-01-16,385.04,390.72,377.71,382.47,BTC
2016-01-17,382.47,387.29,373.21,384.4,BTC
2016-01-18,384.4,386.69,375.89,379.46,BTC
2016-01-19,379.46,425.72,374.05,414.58,BTC
2016-01-20,414.58,423.42,403.86,410.24,BTC
2016-01-21,410.24,411.49,374.9,382.65,BTC
2016-01-22,382.65,395.43,380.27,388.61,BTC
2016-01-23,388.61,405.4,385.53,402.13,BTC
2016-01-24,402.13,403.78,386.85,392.76,BTC
2016-01-25,392.76,397.74,387.9,389.78,BTC
